uid,role,q1,q2,q3,q4
221054672,Researcher,,,,
221057026,Policymaker,Between one and two years,Less than one year,3 - Questions are co-designed,
221057062,Researcher,Less than one year,A few weeks,3 - Questions are co-designed,2 - Significant policy impact and some research impact
84bdc1177d2b23914ec2ac40165d56adbfdcd4a6,Policymaker,More than two years,Less than one year,"2 - My questions are somewhat clear, but validated by the other stakeholder",2 - Significant policy impact and some research impact
27ffb39789cbf791b331f10aebdb3a2fc77f16aa,Researcher,Between one and two years,Less than one year,3 - Questions are co-designed,3 - Balanced policy and research impact
f1a869f46905ca1caf98fcf5680e4db193c3a6bd,Researcher,Never experienced,Less than one year,3 - Questions are co-designed,"5 - No policy impact, high research impact"
c93b511c08b6327c0f2455ad8d5c5c1684e9ccd6,Other,More than two years,Between one and two years,3 - Questions are co-designed,
28c6dc2c445fb195cea134b5a86f6596148a1545,Other,Between one and two years,,3 - Questions are co-designed,2 - Significant policy impact and some research impact
23bc590510bfc581668a742a58a84d4607082761,Researcher,Less than one year,A few weeks,3 - Questions are co-designed,3 - Balanced policy and research impact
7eeacbfe124c4057f70ab7d2189ca3da568da9f9,Researcher,Less than one year,Never experienced,"1 - My questions are already clear, no discussion","5 - No policy impact, high research impact"
d5ac52809458a53676381c6f6297b726a9068b90,Researcher,A few weeks,A few weeks,"4 - Questions are mainly defined by the other stakeholder, but I usually have a say",4 - Some policy impact and significant research impact
7083881256573fdebe42b2ff4738da020019618f,Researcher,More than two years,Less than one year,"2 - My questions are somewhat clear, but validated by the other stakeholder",4 - Some policy impact and significant research impact
7e476a7b41684c0216cb4638c8f87f2b6e836237,Researcher,Less than one year,A few weeks,"2 - My questions are somewhat clear, but validated by the other stakeholder",2 - Significant policy impact and some research impact
936b022e64a93952602835eaf600b161fcea0a4a,Researcher,Between one and two years,Less than one year,"4 - Questions are mainly defined by the other stakeholder, but I usually have a say",2 - Significant policy impact and some research impact
a2b8b7f6389405b860c1ac247ef7a7d71bbfd1ab,Other,Less than one year,More than two years,3 - Questions are co-designed,4 - Some policy impact and significant research impact
7f54666fbec24e65735f0846f7846a2f0ba39c77,Researcher,Between one and two years,A few weeks,"2 - My questions are somewhat clear, but validated by the other stakeholder",3 - Balanced policy and research impact
65c863147169f206c99d82b96eb3037b2ca21bf9,Researcher,Less than one year,Less than one year,3 - Questions are co-designed,3 - Balanced policy and research impact
284d7f2b51ea1cc774d98272db5d4859826f1c9c,Researcher,More than two years,Less than one year,"4 - Questions are mainly defined by the other stakeholder, but I usually have a say",
55a6554619c18fd74dce49043b3ef982645b3fa1,Other,Between one and two years,A few weeks,"1 - My questions are already clear, no discussion",3 - Balanced policy and research impact
6598c49a6d6271427882a848b3a04c174f7779fc,Researcher,Less than one year,A few weeks,,
0369d579bcf3cd5e466c86d8bdc70d9392a7cda8,Researcher,Between one and two years,A few weeks,"4 - Questions are mainly defined by the other stakeholder, but I usually have a say",2 - Significant policy impact and some research impact
5461e1b8c77df1f085673e1790d2fc5349f1347b,Other,Between one and two years,A few weeks,3 - Questions are co-designed,3 - Balanced policy and research impact
97da80940b3cc55f198a95387179fc85d55ab902,Researcher,Less than one year,Between one and two years,,
09517ccf398a15d97a8d4ef3a794b73e9135d8c9,Researcher,More than two years,Less than one year,"2 - My questions are somewhat clear, but validated by the other stakeholder",4 - Some policy impact and significant research impact
9bf8ff68b6bdbf84af942bf3c760cae57d8c458f,Researcher,Less than one year,Between one and two years,3 - Questions are co-designed,2 - Significant policy impact and some research impact
ddc3e9c56534ea23424c30067db1090315bbb3a2,Other,Between one and two years,A few weeks,5 - Questions are defined only by the other stakeholder,2 - Significant policy impact and some research impact
433684de88171bdfe80ab9ac8045c5549f377f25,Researcher,,,,2 - Significant policy impact and some research impact
33f4242631d06c57d4de07a6ac9aa0f525d1728d,Researcher,Less than one year,Between one and two years,"2 - My questions are somewhat clear, but validated by the other stakeholder",4 - Some policy impact and significant research impact
1ac3940da70892f242409a8a08d3971ba8357eda,Policymaker,A few weeks,A few weeks,"1 - My questions are already clear, no discussion",2 - Significant policy impact and some research impact
